COLUMNA_REAL,COLUMNA_NORMALIZADA,TOTAL_FILAS,NO_VACIOS,VACIOS,PORCENTAJE_COMPLETITUD,VALORES_UNICOS,EJEMPLOS,CONTIENE_MARCAS_TECNICAS,HOJA_BASE,CAMPO_MANUAL_MAPEADO,METODO_MAPEO,SCORE_MAPEO,ESTADO_FUENTE_MANUAL,RECLASIFICACION_HITO7BIS
LICENCIA_ENS_MEDIA,LICENCIA_ENS_MEDIA,71,71,0,100.0,1,REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
NOTAS_ENS_MEDIA,NOTAS_ENS_MEDIA,71,71,0,100.0,1,REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
PROMEDIO_MIN_ENS_MEDIA,PROMEDIO_MIN_ENS_MEDIA,71,71,0,100.0,1,REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
RECONOCIMIENTOS_APREN_PREVIOS,RECONOCIMIENTOS_APREN_PREVIOS,71,71,0,100.0,1,REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
EXPERIENCIA_LABORAL,EXPERIENCIA_LABORAL,71,71,0,100.0,1,REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
OTROS_REQUISITOS,OTROS_REQUISITOS,71,71,0,100.0,1,REVISAR_OTROS_REQUISITOS_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
MAIL_DIFUSION_CARRERA,MAIL_DIFUSION_CARRERA,71,71,0,100.0,1,REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
FORMATO_VALOR,FORMATO_VALOR,71,71,0,100.0,1,REVISAR_FORMATO_VALOR_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,Tipo Moneda,EQUIVALENCIA_EXPLICITA,0.98,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
VALOR_MATRICULA_ANUAL,VALOR_MATRICULA_ANUAL,71,71,0,100.0,1,REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,Valor de la Matrícula,EQUIVALENCIA_EXPLICITA,0.98,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
COSTO_TITULACION,COSTO_TITULACION,71,71,0,100.0,1,REVISAR_COSTO_TITULACION_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,Valor titulación,EQUIVALENCIA_EXPLICITA,0.98,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
