CODCLI,CODCARPR_NORM,NOMBRE_CARRERA_FUENTE,JORNADA_FUENTE,MODALIDAD,JOR,VERSION,CODIGO_CARRERA_SIES_FINAL,SIES_RESOLUCION_HEURISTICA,SIES_CONFIANZA_POST,DURACION_ESTUDIOS_REF,ESTADO_CARGA_PREGRADO,CODIGOS_SIES_POTENCIALES,SIES_MATCH_DIAG,COD_CAR_FINAL_SIES
20251ICIB107,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20251IINF106,IINF,INGENIERIA EN INFORMATICA,V,1,2,,,PENDIENTE_GOBERNANZA,0%,,EXCLUIDO_SIN_MATCH_SIES,I162S2C1J2V1 | I162S2C1J2V4,MATCH_SIES_AMBIGUO,
20251ICIB052,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20251ICIB101,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20241ICIB153,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20251ICIB111,ICIB,INGENIERIA EN CIBERSEGURIDAD,V,1,2,1,I162S2C46J2V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3,MATCH_SIES_AMBIGUO,46
20232IECIREOL011,IECIREOL,INGENIERIA EN INFORMATICA,O,3,4,,,PENDIENTE_GOBERNANZA,0%,,EXCLUIDO_SIN_MATCH_SIES,I162S2C1J4V1 | I162S2C1J4V2,MATCH_SIES_AMBIGUO,
20251IADM119,IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,O,3,4,1,I162S2C76J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C76J4V1 | I162S2C76J4V2,MATCH_SIES_AMBIGUO,76
20251CIIND012,CIIND,CONTINUIDAD INGENIERIA INDUSTRIAL,O,3,4,2,I162S2C22J4V2,REGLA_TIPO_PLAN_JORNADA,95%,4,OK_CARGA_PREGRADO,I162S2C22J2V2 | I162S2C22J4V2,MATCH_SIES_AMBIGUO,22
20251TPAS124,TPAS,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,D,1,1,1,I162S2C57J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,OK_CARGA_PREGRADO,I162S2C57J1V1 | I162S2C57J2V1,MATCH_SIES_AMBIGUO,57
20241ICIB008,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20243ICIB017,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20241ICIB089,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20241ICRE068,ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,1,2,,,PENDIENTE_GOBERNANZA,0%,,EXCLUIDO_SIN_MATCH_SIES,I162S2C3J2V1 | I162S2C3J2V2 | I162S2C3J2V3 | I162S2C3J2V4,MATCH_SIES_AMBIGUO,
20241ICIB172,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20251CIIND036,CIIND,CONTINUIDAD INGENIERIA INDUSTRIAL,O,3,4,2,I162S2C22J4V2,REGLA_TIPO_PLAN_JORNADA,95%,4,OK_CARGA_PREGRADO,I162S2C22J2V2 | I162S2C22J4V2,MATCH_SIES_AMBIGUO,22
20253ICIB003,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20251IINF060,IINF,INGENIERIA EN INFORMATICA,D,1,1,2,I162S2C1J1V2,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C1J1V2 | I162S2C1J2V1 | I162S2C1J2V2 | I162S2C1J2V3 | I162S2C1J2V4,MATCH_SIES_AMBIGUO,1
20241ICIB189,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20252IIND013,IIND,INGENIERIA INDUSTRIAL,O,3,4,2,I162S2C87J4V2,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C87J4V1 | I162S2C87J4V2,MATCH_SIES_AMBIGUO,87
20251AUDT034,AUDT,AUDITORIA,O,3,4,1,I162S2C86J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C86J4V1 | I162S2C86J4V2,MATCH_SIES_AMBIGUO,86
20241ICIB125,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20251IADM113,IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,O,3,4,1,I162S2C76J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C76J4V1 | I162S2C76J4V2,MATCH_SIES_AMBIGUO,76
20251TENS050,TENS,TECNICO EN ENFERMERIA,D,1,1,1,I162S2C91J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,OK_CARGA_PREGRADO,I162S2C91J1V1 | I162S2C91J2V1,MATCH_SIES_AMBIGUO,91
20253ADMP012,ADMP,ADMINISTRACION PUBLICA,O,3,4,1,I162S2C83J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C83J4V1 | I162S2C83J4V2,MATCH_SIES_AMBIGUO,83
20251ADMP016,ADMP,ADMINISTRACION PUBLICA,O,3,4,1,I162S2C83J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C83J4V1 | I162S2C83J4V2,MATCH_SIES_AMBIGUO,83
20241ICIB160,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20253IADM008,IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,O,3,4,1,I162S2C76J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C76J4V1 | I162S2C76J4V2,MATCH_SIES_AMBIGUO,76
20251ADMP020,ADMP,ADMINISTRACION PUBLICA,O,3,4,1,I162S2C83J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C83J4V1 | I162S2C83J4V2,MATCH_SIES_AMBIGUO,83
